	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
NPSR1-AS1	1.912212008	-4.368260967	2.447649663	-1.784675737	0.074313929	NA
RSPO4	1.907993976	-4.366680365	2.067142244	-2.112423747	0.03465012	NA
RP11-20F18.1	1.899455213	-4.360989772	2.047775983	-2.129622482	0.033202793	NA
RUFY4	1.899455213	-4.360989772	2.047775983	-2.129622482	0.033202793	NA
RP11-315A17.1	1.899455213	-4.360989772	2.047775983	-2.129622482	0.033202793	NA
CTC-537E7.3	1.897294848	-4.359077741	2.067871216	-2.108002523	0.035030771	NA
CH17-13I23.3	24.67222792	-4.358023284	0.947348863	-4.600230658	4.22E-06	4.84E-05
MSTN	1.882377688	-4.349408534	2.049742658	-2.121929071	0.033843695	NA
ADAM2	188.5666374	-4.346113744	0.324022046	-13.41301863	5.07E-41	1.15E-38
BAGE5	1.873838925	-4.34344075	2.070793805	-2.097476214	0.035951441	NA
RP11-642E20.5	6.987995336	-4.341430264	1.452774227	-2.988372304	0.002804677	0.013824717
RP11-432J24.5	1.865300162	-4.33726798	2.111707693	-2.053914941	0.039983925	NA
RP11-554D14.7	1.865300162	-4.33726798	2.111707693	-2.053914941	0.039983925	NA
MOV10L1	1.865300162	-4.33726798	2.111707693	-2.053914941	0.039983925	NA
AL441988.1	3.785674866	-4.337089055	1.845811651	-2.3496921	0.018788946	0.064241637
PTPRD	14.13301223	-4.33141677	1.020920144	-4.242659718	2.21E-05	0.000212453
RP11-70C1.1	1.852543367	-4.326666393	2.461993715	-1.7573832	0.078852515	NA
CD33	1.852543367	-4.326666393	2.461993715	-1.7573832	0.078852515	NA
SCTR	1.848222636	-4.322761007	2.523256585	-1.713167434	0.086681741	NA
AP000679.2	1.848222636	-4.322761007	2.523256585	-1.713167434	0.086681741	NA
PRELID1P3	1.835465841	-4.31436734	2.450632464	-1.760511788	0.078321071	NA
RP11-430H12.2	1.844592802	-4.308476569	2.094334833	-2.057205228	0.039666489	NA
AC097359.2	1.844592802	-4.308476569	2.094334833	-2.057205228	0.039666489	NA
PDX1	1.844592802	-4.308476569	2.094334833	-2.057205228	0.039666489	NA
BAALC-AS2	1.836054039	-4.302867611	2.151301262	-2.000123222	0.04548696	NA
FAM133A	112.2513418	-4.302541489	0.453392813	-9.489655253	2.32E-21	1.79E-19
AC105053.3	1.818388315	-4.301775779	2.470516018	-1.741245856	0.081640492	NA
KRT36	1.818388315	-4.301775779	2.470516018	-1.741245856	0.081640492	NA
RHOXF1P3	1.829675641	-4.29817029	2.080313885	-2.066116234	0.038817506	NA
RP11-402G3.3	1.823297244	-4.295732977	2.483968807	-1.729382818	0.083740603	NA
RP11-161M6.3	1.801310789	-4.288713454	2.535453356	-1.691497674	0.090741792	NA
LA16c-335H7.2	1.814758481	-4.288301402	2.154515833	-1.990378227	0.046549287	NA
RN7SL426P	1.814758481	-4.288301402	2.154515833	-1.990378227	0.046549287	NA
RP3-428L16.1	3.687340068	-4.282959105	1.781592608	-2.404005881	0.016216512	0.056978331
NRSN1	1.806219718	-4.281853524	2.083457041	-2.055167656	0.039862814	NA
CTD-2308G16.1	1.806219718	-4.281853524	2.083457041	-2.055167656	0.039862814	NA
GS1-345D13.1	1.806807916	-4.277948511	3.063354162	-1.396491651	0.162566493	NA
AC018755.17	1.806807916	-4.277948511	3.063354162	-1.396491651	0.162566493	NA
RP11-96B2.1	1.797680955	-4.275641438	2.057570513	-2.078004817	0.037708915	NA
KCNK4-TEX40	1.79552059	-4.274749729	2.482040482	-1.722272364	0.085020191	NA
PDPN	1.784233263	-4.272905532	3.057476865	-1.397526693	0.162255245	NA
NEU4	24.05522432	-4.270068848	0.725999352	-5.881642782	4.06E-09	8.37E-08
RP11-236L14.2	3.627568728	-4.259536929	1.68061402	-2.534512314	0.011260397	0.04257005
RP11-30J20.1	33.76520638	-4.258407765	0.695736263	-6.120721305	9.32E-10	2.10E-08
PCDHB5	204.6271283	-4.250750618	0.288321015	-14.74311756	3.41E-49	1.12E-46
11-Mar	6.740821431	-4.250548532	1.41612735	-3.001529864	0.002686267	0.013357633
VGLL1	20.44583948	-4.24856756	0.826369128	-5.141246711	2.73E-07	4.04E-06
RP11-166N6.2	1.752929474	-4.243326561	2.632396848	-1.611963091	0.106969972	NA
RP4-726N1.2	1.759896069	-4.238475171	2.56872465	-1.650030949	0.098936606	NA
ART4	434.8457924	-4.23627361	0.336676023	-12.58264122	2.63E-36	5.03E-34
KCNK17	1.731531217	-4.22645782	2.528395755	-1.671596629	0.09460389	NA
CA6	1.742818544	-4.225190213	2.573473331	-1.641823975	0.100626489	NA
AC002064.5	1.742818544	-4.225190213	2.573473331	-1.641823975	0.100626489	NA
NR5A1	1.742818544	-4.225190213	2.573473331	-1.641823975	0.100626489	NA
ANKRD45	26.39709474	-4.223124927	0.689244653	-6.127178368	8.95E-10	2.02E-08
TNXA	1.736440146	-4.22020172	2.541098689	-1.660778363	0.096757968	NA
ACTA2-AS1	3.499001784	-4.216959106	1.968221799	-2.142522306	0.032151476	0.097396874
IGFL3	1.710235659	-4.212424842	2.165292259	-1.945430149	0.051723229	NA
HLA-DQA1	30.01559169	-4.211574661	0.699775406	-6.018466244	1.76E-09	3.81E-08
RP11-496I2.5	16.26253528	-4.209938611	0.889650667	-4.732125507	2.22E-06	2.72E-05
CDH2	25.77693707	-4.204699557	0.735092723	-5.719958076	1.07E-08	2.05E-07
LINC01285	6.376070691	-4.203922516	1.502347312	-2.798236121	0.005138254	0.022514589
MIR602	1.712984223	-4.201911615	2.530716284	-1.660364554	0.096841136	NA
RP11-408B11.2	38.91863676	-4.195453741	0.564893486	-7.426981986	1.11E-13	4.39E-12
RP11-159F24.2	1.686779735	-4.192343793	2.512398395	-1.668662025	0.095184379	NA
KRTDAP	6.57962157	-4.187786505	1.351783002	-3.097972455	0.001948495	0.010218346
RP11-314D7.1	6.458366381	-4.184892004	1.458240415	-2.869823083	0.004107015	0.018798388
RP11-834C11.10	1.669702209	-4.178712968	2.526561297	-1.653913156	0.098145159	NA
RP11-712C19.1	1.669702209	-4.178712968	2.526561297	-1.653913156	0.098145159	NA
FAM230B	3.42618073	-4.176936595	1.779895708	-2.34673109	0.018938918	0.064599798
RP11-23D24.2	1.667541844	-4.175906697	2.658074384	-1.571027027	0.116176371	NA
CD3E	1.678829171	-4.174679487	2.540668727	-1.643141998	0.100353557	NA
COLEC12	114.7195707	-4.172383632	0.346022122	-12.05814128	1.76E-33	2.92E-31
LCE1F	1.666072376	-4.164955425	2.5446038	-1.636779535	0.101676543	NA
LCE1B	1.666072376	-4.164955425	2.5446038	-1.636779535	0.101676543	NA
G0S2	1.666072376	-4.164955425	2.5446038	-1.636779535	0.101676543	NA
LCP2	1.666072376	-4.164955425	2.5446038	-1.636779535	0.101676543	NA
BRS3	1.666072376	-4.164955425	2.5446038	-1.636779535	0.101676543	NA
LRRC32	1.666072376	-4.164955425	2.5446038	-1.636779535	0.101676543	NA
LINC00284	1.666072376	-4.164955425	2.5446038	-1.636779535	0.101676543	NA
OXGR1	12.58565157	-4.163126346	0.971039977	-4.287286253	1.81E-05	0.000178242
RP11-333E13.4	3.398576655	-4.161844935	1.667377062	-2.496043054	0.012558736	0.046423357
KRT5	18.59099095	-4.158043857	0.88800934	-4.682432573	2.83E-06	3.38E-05
CTD-2256P15.5	6.210116687	-4.151362409	1.468148909	-2.827616724	0.004689592	0.020947475
FLG-AS1	1.64899485	-4.14960012	2.136861638	-1.941913339	0.052147592	NA
ZEB2	1.64899485	-4.14960012	2.136861638	-1.941913339	0.052147592	NA
TRAV19	1.64899485	-4.14960012	2.136861638	-1.941913339	0.052147592	NA
OR1F2P	1.64899485	-4.14960012	2.136861638	-1.941913339	0.052147592	NA
CNPY1	9.52161336	-4.149248555	1.158581607	-3.581317474	0.000341866	0.002341386
NKAIN2	43.6132499	-4.145380943	0.549276931	-7.546978059	4.45E-14	1.84E-12
RP11-161I6.2	3.353652441	-4.138099562	1.753917802	-2.359346349	0.01830716	0.063002366
HFM1	1.631917324	-4.136178312	2.139787942	-1.932985148	0.053238027	NA
AC098973.2	1.631917324	-4.136178312	2.139787942	-1.932985148	0.053238027	NA
RP11-153K16.2	1.631917324	-4.136178312	2.139787942	-1.932985148	0.053238027	NA
EPB41L3	9.34952179	-4.128790043	1.118767633	-3.69048042	0.000223831	0.00161929
PSMB8	176.3945597	-4.128545364	0.379266748	-10.88559803	1.35E-27	1.51E-25
CRLF2	6.099215467	-4.123879515	1.417734512	-2.908781215	0.003628407	0.016972167
RP11-222K16.2	1.614839798	-4.122924096	2.560557321	-1.610166686	0.107361472	NA
CLEC5A	1.614839798	-4.122924096	2.560557321	-1.610166686	0.107361472	NA
RP11-328J14.1	1.614839798	-4.122924096	2.560557321	-1.610166686	0.107361472	NA
TMEM235	1.614839798	-4.122924096	2.560557321	-1.610166686	0.107361472	NA
RP11-369C8.1	6.084298307	-4.121793885	1.438677217	-2.864988642	0.004170242	0.01899803
RAC2	30.6436265	-4.121235067	0.657274739	-6.270186305	3.61E-10	8.75E-09
DAPL1	15.5455021	-4.11770358	0.953310652	-4.319372254	1.56E-05	0.000156255
CXorf36	1.602083003	-4.113297312	2.187797033	-1.880109192	0.060093198	NA
IGFL2	1.602083003	-4.113297312	2.187797033	-1.880109192	0.060093198	NA
KRT17	759.1349473	-4.11285008	0.279242767	-14.72858232	4.22E-49	1.37E-46
RP11-44F14.1	6.1016186	-4.111216459	1.475349711	-2.786604714	0.005326341	0.023161237
RNU6-1017P	1.602671201	-4.102551596	2.699381241	-1.519811849	0.12855827	NA
RP11-95P13.1	1.585005477	-4.099648992	2.148430925	-1.908206098	0.056364584	NA
RP11-445F6.2	1.585005477	-4.099648992	2.148430925	-1.908206098	0.056364584	NA
HIGD1AP18	1.585005477	-4.099648992	2.148430925	-1.908206098	0.056364584	NA
DCT	1.585005477	-4.099648992	2.148430925	-1.908206098	0.056364584	NA
RP11-455I9.1	1.576466714	-4.09270112	2.159678168	-1.895051393	0.058085593	NA
AC012123.1	1.576466714	-4.09270112	2.159678168	-1.895051393	0.058085593	NA
NCF2	45.11034634	-4.092137712	0.527348013	-7.759842858	8.50E-15	3.83E-13
AC078941.1	9.024129885	-4.090857504	1.100241069	-3.718146523	0.00020069	0.001472494
LINC01310	1.572248682	-4.086997117	3.16940417	-1.289515915	0.197218787	NA
RP11-1055B8.2	3.243927771	-4.086098048	1.742578047	-2.344857985	0.019034328	0.06485237
EVX2	1.567927951	-4.085570912	2.194408857	-1.861809343	0.062629969	NA
GPR182	1.567927951	-4.085570912	2.194408857	-1.861809343	0.062629969	NA
ANKRD20A9P	1.567927951	-4.085570912	2.194408857	-1.861809343	0.062629969	NA
BEAN1	12.15160928	-4.081897667	1.000225156	-4.080978812	4.48E-05	0.000398515
ZDHHC15	18.13335491	-4.074709097	0.871792796	-4.673942151	2.95E-06	3.50E-05
PDE4DIPP1	1.555171156	-4.073508454	2.632704912	-1.547271187	0.121797867	NA
RP11-378J18.10	1.555171156	-4.073508454	2.632704912	-1.547271187	0.121797867	NA
LY75	1.555171156	-4.073508454	2.632704912	-1.547271187	0.121797867	NA
MID1	479.6147536	-4.070564372	0.237884232	-17.11153501	1.22E-65	7.04E-63
FEV	1.550850425	-4.069186597	2.634108874	-1.544805774	0.12239325	NA
MGAM2	1.550850425	-4.069186597	2.634108874	-1.544805774	0.12239325	NA
PAMR1	1.550850425	-4.069186597	2.634108874	-1.544805774	0.12239325	NA
RP11-571M6.18	1.562137752	-4.067369797	2.643325703	-1.538731982	0.123869741	NA
SNRPN	1.562137752	-4.067369797	2.643325703	-1.538731982	0.123869741	NA
RP11-342A23.2	5.932761092	-4.062923577	1.668996727	-2.434350835	0.014918527	0.053296757
ANKRD1	209.9767794	-4.061597062	0.262693265	-15.46136732	6.32E-54	2.52E-51
RPL5P20	1.53809363	-4.058994117	2.586672743	-1.56919507	0.116602493	NA
LINC01277	1.53809363	-4.058994117	2.586672743	-1.56919507	0.116602493	NA
VN1R35P	1.53809363	-4.058994117	2.586672743	-1.56919507	0.116602493	NA
TBX22	1.53809363	-4.058994117	2.586672743	-1.56919507	0.116602493	NA
CTB-12O2.1	11.57580716	-4.054034623	1.161293892	-3.490963528	0.000481282	0.003142891
LHFPL1	3.134010367	-4.048644262	1.743691206	-2.321881448	0.02023932	0.068145311
CTD-2595P9.4	6.044545791	-4.047653664	1.500088694	-2.698276228	0.006969958	0.028895937
RNY3P8	1.538681828	-4.044277121	2.291757717	-1.764705358	0.077613298	NA
RN7SL372P	1.521016104	-4.044122714	2.592780448	-1.559762886	0.118815925	NA
LINC00501	1.521016104	-4.044122714	2.592780448	-1.559762886	0.118815925	NA
ORAOV1P1	1.521016104	-4.044122714	2.592780448	-1.559762886	0.118815925	NA
C9	1.521016104	-4.044122714	2.592780448	-1.559762886	0.118815925	NA
DCC	1.521016104	-4.044122714	2.592780448	-1.559762886	0.118815925	NA
SLC7A10	1.532303431	-4.041584841	2.608701074	-1.549270969	0.121316595	NA
RP11-575F12.2	1.530143066	-4.03944061	2.622862623	-1.540088518	0.123538778	NA
CTC-339O9.1	1.512477341	-4.036511591	2.61320823	-1.544657461	0.122429139	NA
RP11-439A17.4	3.091316552	-4.030036208	1.765330045	-2.282879748	0.022437453	0.073868511
PM20D1	1.503938578	-4.028720396	2.651220496	-1.519571987	0.128618583	NA
F11	1.503938578	-4.028720396	2.651220496	-1.519571987	0.128618583	NA
KRBOX1	1.515225905	-4.023937512	2.227187765	-1.806734742	0.070803648	NA
RP11-292E2.2	1.508847508	-4.021109574	2.617219617	-1.536405103	0.124439056	NA
CTD-2591A6.2	1.508847508	-4.021109574	2.617219617	-1.536405103	0.124439056	NA
ATP5G1P1	1.508847508	-4.021109574	2.617219617	-1.536405103	0.124439056	NA
RP11-239L20.6	3.083954339	-4.017568003	1.850643833	-2.170902867	0.029938516	0.092281608
RP11-356N1.2	5.927854372	-4.015883001	1.515645283	-2.649619305	0.008058252	0.032487167
FAM26E	14.28839157	-4.01379866	0.917761646	-4.373465244	1.22E-05	0.000125313
LINC00474	1.498148379	-4.011204336	2.621100175	-1.530351405	0.125929771	NA
RORB	1.486861052	-4.010232857	3.215033156	-1.247337947	0.212273609	NA
AP003900.6	1.486861052	-4.010232857	3.215033156	-1.247337947	0.212273609	NA
RN7SL652P	1.491769982	-4.004002286	2.205555229	-1.815416923	0.069459862	NA
CTD-2140B24.6	1.485391584	-4.000392855	2.639490516	-1.515592813	0.129622346	NA
SPINK7	60.7097931	-3.997687055	0.569432919	-7.020470577	2.21E-12	7.39E-11
LGALS7B	5.666156714	-3.997465671	1.423326266	-2.808537836	0.004976703	0.021939412
IGFL4	5.62555323	-3.992637046	1.364291043	-2.926528813	0.003427678	0.016230177
RP11-326I11.4	1.474692456	-3.989377385	2.267652454	-1.759254323	0.078534321	NA
FOLR2	1.474692456	-3.989377385	2.267652454	-1.759254323	0.078534321	NA
BCRP7	1.474692456	-3.989377385	2.267652454	-1.759254323	0.078534321	NA
KLK8	110.7703559	-3.9881603	0.377363082	-10.5684962	4.17E-26	4.31E-24
UGT1A6	96.30474761	-3.987946962	0.401816045	-9.924807656	3.25E-23	2.76E-21
BRDT	1.466153693	-3.98252659	2.633287693	-1.512378082	0.130437708	NA
CTD-2561B21.11	1.466153693	-3.98252659	2.633287693	-1.512378082	0.130437708	NA
SSUH2	30.9947968	-3.979631843	0.610450179	-6.519175487	7.07E-11	1.91E-09
ZNF521	1.461935661	-3.979358302	2.680509713	-1.484552838	0.137662317	NA
RP11-1096D5.2	1.461935661	-3.979358302	2.680509713	-1.484552838	0.137662317	NA
COL9A3	753.5068374	-3.973308228	0.279087373	-14.23678966	5.42E-46	1.58E-43
DKFZp779M0652	5.728038388	-3.96558917	1.474862976	-2.688784812	0.007171263	0.029548913
RP11-83M16.3	1.444858135	-3.963892622	2.243387148	-1.766923122	0.077241104	NA
AC079630.4	1.444858135	-3.963892622	2.243387148	-1.766923122	0.077241104	NA
CLEC18C	1.444858135	-3.963892622	2.243387148	-1.766923122	0.077241104	NA
RP11-794M8.1	2.980122261	-3.956441425	2.109679151	-1.875375894	0.060741029	0.156914863
PPP1R2P6	1.436319372	-3.95633707	2.218473966	-1.783359702	0.074527769	NA
AC018463.5	1.445446333	-3.955395743	3.256846888	-1.214486244	0.2245621	NA
RP11-555K12.1	1.445446333	-3.955395743	3.256846888	-1.214486244	0.2245621	NA
GAGE12H	1.445446333	-3.955395743	3.256846888	-1.214486244	0.2245621	NA
RP11-386I8.6	1.445446333	-3.955395743	3.256846888	-1.214486244	0.2245621	NA
CTC-360G5.6	1.445446333	-3.955395743	3.256846888	-1.214486244	0.2245621	NA
DSCR10	1.445446333	-3.955395743	3.256846888	-1.214486244	0.2245621	NA
AC084149.2	1.427780609	-3.948718639	2.220530104	-1.778277463	0.075358296	NA
LINC01558	30.21437293	-3.945166771	0.657924526	-5.996381978	2.02E-09	4.33E-08
HIF3A	1.421402211	-3.943086191	2.320604057	-1.699163707	0.089288343	NA
AC005537.2	10.79557572	-3.942779637	1.068891233	-3.688663088	0.000225436	0.001629442
RP11-266K4.13	1.419241846	-3.940945231	2.249653395	-1.751801073	0.07980802	NA
PPP1R14A	1.419241846	-3.940945231	2.249653395	-1.751801073	0.07980802	NA
AC142293.3	66.48716396	-3.938566509	0.465419084	-8.462408702	2.62E-17	1.54E-15
RP11-358N2.2	1.412863448	-3.935458321	2.292333344	-1.716791465	0.086017281	NA
P2RX7	90.77188814	-3.935205523	0.426082697	-9.235778761	2.56E-20	1.83E-18
RP6-91H8.2	1.415023814	-3.935068494	3.265615984	-1.205000378	0.228203156	NA
RPL4P3	1.410703083	-3.932857747	2.323355738	-1.692748847	0.090503283	NA
CH17-132F21.5	1.410703083	-3.932857747	2.323355738	-1.692748847	0.090503283	NA
RP11-467D10.2	1.410703083	-3.932857747	2.323355738	-1.692748847	0.090503283	NA
RP1-273P12.1	1.406485051	-3.92793343	2.774363078	-1.415796462	0.156835106	NA
DEFB126	1.406485051	-3.92793343	2.774363078	-1.415796462	0.156835106	NA
AP000696.2	5.360002973	-3.925677556	1.470372471	-2.669852457	0.007588458	0.030968459
AC005534.8	56.46775153	-3.912614943	0.459256995	-8.519445506	1.60E-17	9.57E-16
RP11-554A11.7	1.389407525	-3.911999025	2.678405834	-1.460569932	0.144133503	NA
RP11-274M17.3	1.389407525	-3.911999025	2.678405834	-1.460569932	0.144133503	NA
RP11-6C14.1	1.387247159	-3.911720556	2.329853565	-1.678955542	0.093160709	NA
RN7SKP239	1.387247159	-3.911720556	2.329853565	-1.678955542	0.093160709	NA
FGL1	13.29857864	-3.909014185	0.949862307	-4.115348252	3.87E-05	0.000350214
KCNJ13	16.33483005	-3.907165724	0.842317751	-4.638588843	3.51E-06	4.10E-05
AC093326.2	1.398534486	-3.906868914	2.721663445	-1.435470988	0.15115293	NA
DGAT2L7P	1.398534486	-3.906868914	2.721663445	-1.435470988	0.15115293	NA
DGKI	1.398534486	-3.906868914	2.721663445	-1.435470988	0.15115293	NA
UNQ6494	1.398534486	-3.906868914	2.721663445	-1.435470988	0.15115293	NA
RP11-676B18.1	1.398534486	-3.906868914	2.721663445	-1.435470988	0.15115293	NA
RP11-349G13.2	1.398534486	-3.906868914	2.721663445	-1.435470988	0.15115293	NA
MIR6859-4	1.398534486	-3.906868914	2.721663445	-1.435470988	0.15115293	NA
AC114812.8	1.380868762	-3.903865131	2.668534289	-1.462924853	0.143487943	NA
MT4	1.380868762	-3.903865131	2.668534289	-1.462924853	0.143487943	NA
GGT2	38.08801735	-3.902475884	0.632674103	-6.168224474	6.91E-10	1.59E-08
RP11-710M11.1	1.389995723	-3.895650889	2.415157555	-1.613000726	0.10674435	NA
FAP	1.372329999	-3.89562124	2.672267719	-1.457796018	0.144896776	NA
AP000770.1	1.372329999	-3.89562124	2.672267719	-1.457796018	0.144896776	NA
C1orf116	119.1210312	-3.892199168	0.330186389	-11.78788496	4.51E-32	6.88E-30
GAS1RR	1.38145696	-3.890238051	2.72900424	-1.425515576	0.154008221	NA
KLRD1	1.38145696	-3.890238051	2.72900424	-1.425515576	0.154008221	NA
LINC01580	1.38145696	-3.890238051	2.72900424	-1.425515576	0.154008221	NA
CTB-31N19.2	1.38145696	-3.890238051	2.72900424	-1.425515576	0.154008221	NA
RP11-517B11.4	2.845765118	-3.88809754	1.790548139	-2.171456581	0.029896676	0.09216434
RP11-557H15.4	1.375078563	-3.884152455	2.703663095	-1.43662591	0.150824317	NA
RP11-834C11.5	1.355252473	-3.878672291	2.725606598	-1.423049201	0.154721893	NA
RNU6-97P	1.355252473	-3.878672291	2.725606598	-1.423049201	0.154721893	NA
HPN-AS1	1.355252473	-3.878672291	2.725606598	-1.423049201	0.154721893	NA
RP11-110F24.1	2.829448523	-3.877068639	1.786759031	-2.169888928	0.030015261	0.092479163
ST6GALNAC1	251.3552884	-3.871613493	0.248785687	-15.56204276	1.32E-54	5.43E-52
RP11-184E9.1	1.351622639	-3.86129548	2.705945272	-1.426967322	0.153589314	NA
RP11-115N4.1	1.351622639	-3.86129548	2.705945272	-1.426967322	0.153589314	NA
FAM46D	1.351622639	-3.86129548	2.705945272	-1.426967322	0.153589314	NA
LINC01602	1.351622639	-3.86129548	2.705945272	-1.426967322	0.153589314	NA
CTA-363E6.2	1.351622639	-3.86129548	2.705945272	-1.426967322	0.153589314	NA
RP11-567L7.3	1.351622639	-3.86129548	2.705945272	-1.426967322	0.153589314	NA
AC007326.9	1.351622639	-3.86129548	2.705945272	-1.426967322	0.153589314	NA
FAM135A	93.64956643	-3.858680317	0.401820942	-9.602984591	7.77E-22	6.20E-20
CH17-333M13.2	1.338174947	-3.858433392	3.314749541	-1.164019587	0.244416074	NA
AGTR2	1.338174947	-3.858433392	3.314749541	-1.164019587	0.244416074	NA
SERPINA9	1.338174947	-3.858433392	3.314749541	-1.164019587	0.244416074	NA
RPSAP14	1.343083876	-3.850674314	2.337656007	-1.647237362	0.099509267	NA
RP11-364B6.2	18.00605379	-3.848916192	0.770050164	-4.998266831	5.78E-07	7.98E-06
AC016722.3	5.066260596	-3.842143522	1.451650322	-2.646741756	0.008127139	0.032694335
ADGRB3	1.334545113	-3.842110524	2.299463139	-1.670872848	0.094746796	NA
KB-1991G8.1	1.334545113	-3.842110524	2.299463139	-1.670872848	0.094746796	NA
MKRN3	20.85851274	-3.840788246	0.761072488	-5.046547217	4.50E-07	6.34E-06
SLIT1	370.57704	-3.839677093	0.228071375	-16.83541868	1.34E-63	7.09E-61
SLIT3	2.748381624	-3.838206157	1.727877168	-2.221342019	0.026327805	0.083628645
CTD-2341M24.1	1.328166716	-3.838176194	2.724974192	-1.408518365	0.158977633	NA
RP11-159K7.2	1.317467587	-3.826924043	2.721723137	-1.406066617	0.159704344	NA
RP11-109J4.1	1.317467587	-3.826924043	2.721723137	-1.406066617	0.159704344	NA
RP3-460G2.2	1.317467587	-3.826924043	2.721723137	-1.406066617	0.159704344	NA
FRMD1	1.317467587	-3.826924043	2.721723137	-1.406066617	0.159704344	NA
MEG9	1.317467587	-3.826924043	2.721723137	-1.406066617	0.159704344	NA
XXbac-B33L19.15	1.317467587	-3.826924043	2.721723137	-1.406066617	0.159704344	NA
RP11-234G16.5	2.716386938	-3.822992793	1.737927109	-2.199742885	0.027825142	0.087352819
